"","observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species"
"1","Pieris rapae","Pieris rapae","species","Piéride de la rave","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pieris","Pieris rapae"
"2","Polites peckius","Polites peckius","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Polites","Polites coras"
"3","Poanes zabulon","Poanes zabulon","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Lon","Poanes zabulon"
"4","Colias pelidne","Colias pelidne","species","Coliade commun du Nord","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias pelidne"
"5","Wallengrenia egeremet","Wallengrenia egeremet","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Wallengrenia","Wallengrenia egeremet"
"6","Boloria eunomia","Boloria eunomia","species","Boloria des tourbières","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria","Boloria eunomia"
"7","Phyciodes","Phyciodes","genus","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Phyciodes",""
"8","Papilio brevicauda","Papilio brevicauda","species","Papillon queue-courte","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio brevicauda"
"9","Lycaena phlaeas","Lycaena phlaeas","species","Bronzé","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena","Lycaena phlaeas"
"10","Polygonia interrogationis","Polygonia interrogationis","species","Polygone à queue violacée","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Polygonia","Polygonia interrogationis"
